"LocalAddress","LocalPort","OwningProcess"
"0.0.0.0","53","2728"
"172.21.16.1","137","4"
"192.168.8.225","137","4"
"192.168.8.225","138","4"
"172.21.16.1","138","4"
"::","500","2728"
"0.0.0.0","500","2728"
"100.71.61.18","1900","2948"
"fe80::5ac:a7c:7219:a55c%9","1900","2948"
"fe80::2ee9:dbab:c548:24a6%62","1900","2948"
"127.0.0.1","1900","2948"
"::1","1900","2948"
"192.168.8.225","1900","2948"
"172.21.16.1","1900","2948"
"fe80::5ac:a7c:7219:a55c%9","2177","2948"
"fe80::2ee9:dbab:c548:24a6%62","2177","2948"
"192.168.8.225","2177","2948"
"172.21.16.1","2177","2948"
"0.0.0.0","3702","2948"
"::","3702","4488"
"::","4500","2728"
"0.0.0.0","4500","2728"
"0.0.0.0","5050","2368"
"0.0.0.0","5353","1204"
"::","5353","16716"
"0.0.0.0","5355","2608"
"::","5355","2608"
"0.0.0.0","49408","2728"
"0.0.0.0","49409","2728"
"::","49410","2728"
"0.0.0.0","49957","16716"
"0.0.0.0","50170","16716"
"::","50929","2608"
"0.0.0.0","51820","5820"
"::","51820","5820"
"::","52957","2608"
"::","54068","2608"
"0.0.0.0","55109","16716"
"0.0.0.0","55164","16716"
"::","55165","16716"
"::","56587","2608"
"::","57397","2608"
"0.0.0.0","58561","2948"
"::","58562","2948"
"0.0.0.0","59892","17248"
"0.0.0.0","59893","17248"
"0.0.0.0","60296","4488"
"::","60297","4488"
"127.0.0.1","61422","2728"
"::","62554","2608"
"::","63270","2608"
"fe80::5ac:a7c:7219:a55c%9","63893","2948"
"::1","63894","2948"
"fe80::2ee9:dbab:c548:24a6%62","63895","2948"
"100.71.61.18","63896","2948"
"192.168.8.225","63897","2948"
"127.0.0.1","63898","2948"
"172.21.16.1","63899","2948"
